"% of page scrolled","Pixels scrolled","# of visitors","% of visitors"
"5%","67","23","100.0"
"10%","134","23","100.0"
"15%","201","23","100.0"
"20%","268","23","100.0"
"25%","335","23","100.0"
"30%","402","23","100.0"
"35%","469","23","100.0"
"40%","536","23","100.0"
"45%","603","22","98.8"
"50%","670","22","97.9"
"55%","737","21","95.1"
"60%","804","21","93.6"
"65%","871","17","74.2"
"70%","938","16","73.9"
"75%","1005","16","73.9"
"80%","1072","16","71.4"
"85%","1139","16","71.4"
"90%","1206","16","71.4"
"95%","1273","16","71.4"
"100%","1341","13","58.4"
