"% of page scrolled","Pixels scrolled","# of visitors","% of visitors"
"5%","81","22","100.0"
"10%","162","22","100.0"
"15%","243","22","100.0"
"20%","324","22","100.0"
"25%","405","22","100.0"
"30%","486","22","100.0"
"35%","567","22","100.0"
"40%","648","22","100.0"
"45%","729","21","97.9"
"50%","811","21","95.8"
"55%","892","20","93.8"
"60%","973","20","93.8"
"65%","1054","16","72.9"
"70%","1135","16","72.9"
"75%","1216","16","72.9"
"80%","1297","15","68.8"
"85%","1378","15","68.8"
"90%","1459","15","68.8"
"95%","1540","15","68.8"
"100%","1622","12","56.2"
